id,username,created_at,lng,lat,text
1517646776722804736,mikesalot24,Fri Apr 22 23:29:22 +0000 2022,-122.3306025,47.614817,"Wow! Roach is staying another year, that's huge! Duke has its Captain next year. #DukeNation"
1517646866749435904,captinkirk60,Fri Apr 22 23:29:44 +0000 2022,-122.178297,47.325447499999996,"@MsOregonian Yes, as his limousine drove by https://t.co/smQI4jAGvv"
1517646871405096960,TimFromPuyallup,Fri Apr 22 23:29:45 +0000 2022,-122.3306025,47.614817,@Bobbycressey @aileenburns I might go!
1517646878879338498,AnEssentialNPC,Fri Apr 22 23:29:47 +0000 2022,-120.882482,47.273022,@DiceEnvy Poisoned and fighting a weird doppelganger. Neat. https://t.co/rveGcVO3Be
1517646889901969408,RobertNardin,Fri Apr 22 23:29:49 +0000 2022,-122.82493550000001,45.8590575,@OregonGovBrown Then maybe you can offer Disney 60 Square acres of land in Oregon and have them make there own laws… https://t.co/5cHGQbIDc6
1517646895304245249,rosalie09s,Fri Apr 22 23:29:51 +0000 2022,-123.7022605,48.780058499999996,A beautiful article highlighting Quw’utsun Elders leading a cedar planting ceremony at Bright Angel Park last month… https://t.co/5OezAU6WsY
1517646925448712192,ddrodd1,Fri Apr 22 23:29:58 +0000 2022,-122.1757435,47.406940500000005,@barstoolsports Shaq’s face has me 😂
1517646957832916993,mikesalot24,Fri Apr 22 23:30:05 +0000 2022,-122.3306025,47.614817,@Cocolh44 Butter
1517646961532231681,TiffRichElliott,Fri Apr 22 23:30:06 +0000 2022,-122.1660035,47.180856,"#SusanKelechiWatson Beth in @NBCThisisUs has the best line in Beautiful Day in the Neighborhood, ""Don't ruin my chi… https://t.co/ljKWndMblk"
1517646974652100609,film_girl,Fri Apr 22 23:30:09 +0000 2022,-122.3306025,47.614817,Whatever happened to the Cinnamon Toast Crunch shrimp tails dude? I know he was Milkshake Ducked but did he ever re… https://t.co/3hVGeYZ6ox
1517646982310899712,aloofloofredux,Fri Apr 22 23:30:11 +0000 2022,-122.3306025,47.614817,Who gonna be my triple digit mufo? 🙈👀 https://t.co/2Z9qz2ttmq
1517646992364609536,AmiirahNassanga,Fri Apr 22 23:30:14 +0000 2022,-122.455344,47.242960499999995,@souramustapha Not the you finally😂😂
1517647044176793606,DaveSnider,Fri Apr 22 23:30:26 +0000 2022,-122.29648850000001,47.442583,@Climatologist49 &lt;smite&gt;
1517647150012076032,NWJS_jobs,Fri Apr 22 23:30:51 +0000 2022,-122.28486,47.80278,"Join the Snohomish County Head Start team! Our latest job opening: https://t.co/D6siwPEYGs Lynnwood, WA Socialworkerjobs"
1517647193112387584,robkellyclark,Fri Apr 22 23:31:02 +0000 2022,-122.163996,47.530428,@MurphysLaw57 Very true.  Couldn’t agree more.
1517647218563588096,David56361043,Fri Apr 22 23:31:08 +0000 2022,-122.1505695,48.168642,@NASCAR_Xfinity @TALLADEGA @JEarnhardt1 I knew you could do it!  Congratulations!
1517647287471665152,ceparmele,Fri Apr 22 23:31:24 +0000 2022,-122.60666599999999,47.5852835,@RoArquette Don’t give up. We give up they win. If we keep going even when we are tired then we win. It’s exhaustin… https://t.co/h1fUfKfduX
1517647288285364225,alyknits,Fri Apr 22 23:31:24 +0000 2022,-120.882482,47.273022,@cconrymurray @BillieO2 Kind question and very kind response.
1517647306446704642,_YungPreshhh,Fri Apr 22 23:31:29 +0000 2022,-122.296281,47.119285500000004,Cooking is so peaceful for me.🥰
1517647321365827589,BrianWard1,Fri Apr 22 23:31:32 +0000 2022,-122.6495355,47.612176,@brookalooook I woulda done it solo. Fuck that
1517647357919309825,ashymcgee,Fri Apr 22 23:31:41 +0000 2022,-122.36694114,47.69090377,Is that the TRUTH..#rickandmorty #facts @ Lamplighter PH https://t.co/ttt1tRn1AU
1517647400533323776,docwho76,Fri Apr 22 23:31:51 +0000 2022,-122.3306025,47.614817,@RayRedacted When does https://t.co/2lGtGkwqZM start selling discount knockoff poor imitation NFTs?
1517647418996654080,LODaveWade,Fri Apr 22 23:31:55 +0000 2022,-120.58340150000001,44.1454365,@GidgitVonLaRue @debedee21 I want that cleaning lady Bogie has in IN A LONELY PLACE. (&amp; I want the apartment he’s got in that movie.)
1517647443164237824,TimFromPuyallup,Fri Apr 22 23:32:01 +0000 2022,-122.3306025,47.614817,@thestevenwoods @_raypeterson @HannahNancarrow OH NOHANNAH HAS TO VACUUM BANANAS??
1517647451326398469,BrewDad,Fri Apr 22 23:32:03 +0000 2022,-122.8307419,47.0480232,Super beer #wabeer - Drinking a Blood Orange IPA by @LuckyEnvBrewing @ Puget Sound Taps  — https://t.co/TkGqKGVQct
1517647473073811456,SeattleKraken3,Fri Apr 22 23:32:08 +0000 2022,-122.3306025,47.614817,@KneesToLetters I’ve long since decided that if one day I have a child who asks me what our religion is I’ll tell t… https://t.co/2D5I1qGgl0
1517647481604952064,alyknits,Fri Apr 22 23:32:10 +0000 2022,-120.882482,47.273022,@MaryBlyeKramer Yup. And I didn’t become a child abuser.
